comp_id,exit,sales_log,employees_log,profit_margin,age,liquidity,foreign,female_ceo,industry,urban
10731026,0,8.601670492833737,-2.4849066199856784,0.008168822043650888,3,0.42672412894994005,0,0,56,0
10838662,0,12.341347907355543,-0.49247649593500237,0.009074439573378215,12,2.296962199294739,0,0,56,0
11054526,0,11.139389640676741,-0.48117688698209465,-0.4667993652352451,4,0.11256819038326804,0,0,47,1
11241516,0,10.021599787472704,-1.791759439425733,-0.07618890650847338,4,0.08894044633871025,0,1,55,0
11380388,0,11.142398437562132,-1.4434527398982842,0.03326180290901363,9,1.0149584490367176,0,1,55,0
11563854,0,9.891377509346373,-2.4849066199856784,0.23392688910391202,2,1.866161717256351,0,0,56,0
11963816,0,10.137241257195532,-1.1411718927208805,-0.9520668327441363,1,0.15912546760400176,0,0,56,0
12100325,0,13.090857423818411,0.43531804320860057,0.06769969329381519,22,1.1933290917061823,0,0,28,0
12428378,0,8.613176528832083,-2.4849066199856784,-1,21,0.0014084506678567056,0,0,26,0
13141287,0,11.133723572300047,-0.7651207157698977,-0.1394014866875599,23,0.046896726849136094,0,1,56,1
14024063,0,9.673375318247608,-2.4849066199856784,0.3461538508816905,5,1.9886791488348718,0,0,30,0
14351242,0,12.704308252848985,-0.19237190709706703,-0.047167899354565536,2,1.066035791923575,0,0,28,0
14846789,0,10.76739278193847,-2.4849066199856784,0.05752868612496898,6,30.627738016492238,0,0,33,1
15817313,0,11.27075955218577,-1.6094378975329393,0.003963572862591932,1,3.8521502546878836,0,0,56,0
16328006,0,10.908806129564919,-2.4849066199856784,0.2062749940643899,5,2.9769897305225705,0,1,33,0
16765123,0,8.93395228945386,-1.791759439425733,-0.04052734472439626,1,5.170000138427738,0,1,56,0
17284432,0,9.314032846836525,-2.4849066199856784,0.33756258905528436,20,0.22744879593008538,0,0,55,0
17577634,0,11.05645941282809,-1.2562411747208215,0.005086232226157064,8,0.8091097710584904,0,0,56,1
17689372,0,9.43968683290749,-2.4849066199856784,-0.20376914144521385,6,0.06783695280046041,0,0,56,0
17776540,0,12.589292144691019,-0.426518497015054,6.437930657738476e-4,15,0.9313454033123784,0,0,26,1
18384412,0,11.871091921051514,-1.6739764335716716,0,6,2.4130200222208225,0,0,33,0
18626760,0,11.48836706407619,-2.4849066199856784,0.25298919546777004,2,1.9915687685390298,0,0,26,0
18794680,0,8.671343899145281,-2.4849066199856784,0.7396825407454648,2,14.018632060963064,0,0,56,1
19044224,0,10.906703264438637,-1.2909841596411498,-0.30116799153156004,2,0.2573658659046554,0,1,56,0
19434704,0,8.31330747001111,-2.4849066199856784,-0.9909173302468637,2,0.16492146345181574,0,1,56,0
19572992,0,10.273773151025516,-1.9740809783382949,0.30537084100606127,1,3.5136002487375126,0,0,56,0
19847096,0,11.556800593928548,-1.1856236764949477,0.011094962884990277,7,2.3067909112236213,0,0,33,0
20052334,0,9.61802521516939,-1.0986122588657878,0.053707811118690475,14,0.2214994940948242,0,0,56,0
20290704,0,9.266860718796396,-1.3535045690605878,-1,14,0.02276075826260288,0,0,56,0
20558708,0,10.826643570561341,-2.4849066199856784,0.006768189639567362,3,1.0768220908210244,0,1,56,0
20686842,0,10.73074469366944,-2.197224569885639,-0.022591093292443912,10,4.063978020253228,0,0,56,0
20752708,1,8.771548228901326,-2.4849066199856784,-0.4887995485622348,6,NA,0,0,56,0
20844168,0,10.370941608697228,-2.1365999204582296,0.0020886516411784866,12,1.2380802123628387,0,0,30,0
20930228,0,10.228117484102315,-1.791759439425733,-0.3666175745011551,3,0.2837049780256846,0,1,56,0
21112620,0,12.443586510019614,-0.021053388906889646,0.0065423428303520575,23,3.663988577874042,0,0,56,0
21180624,0,12.997404634392565,0.2772107525071313,-0.018859849341381095,14,2.103689500532789,1,0,55,0
21416758,0,10.828481008736873,-1.7473077196147526,-0.17212513420778894,2,0.37452005513221676,0,0,56,0
21542420,0,10.65236726105208,-2.4849066199856784,0.6937559897086,9,1.070991784126791,0,0,56,0
21731972,0,11.395725608840978,-1.2718840067202737,0.04105938085092646,22,2.144182980762878,0,0,28,0
22897908,0,14.1474115588179,1.8685918767395278,0.01756157648557676,16,6.756338645847899,0,0,56,1
23035320,0,11.039954500035323,-2.4849066199856784,0.04570579450625989,3,0.7421984506894264,0,0,33,0
23672124,0,9.356522894654264,-2.4849066199856784,0.06335999745018753,12,16.416667496363353,0,1,56,0
23812292,0,10.031913318858052,-2.4849066199856784,-0.01986970663668995,1,0.5026822969137136,0,0,28,0
23906448,0,11.356618177481314,-1.0185695993344641,0.01693153759392418,10,0.8385759348594646,0,0,56,1
24692848,0,11.824947763236331,-1.791759439425733,0.03933635345227387,10,2.0385306904274056,0,0,28,1
25012080,0,9.393895705115412,-2.4849066199856784,0.07459926486425857,2,NA,1,0,55,0
